                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.96085,                0.61401,                 1.0023,                0.94825,                0.63197,                0.78606,                0.48529,                 1.2913,                0.71881,                 1.1822,              0.0014614,              0.0014614,              0.0014614
                     36,                0.95152,                0.58435,                 1.0125,                0.97801,                0.63793,                0.79575,                0.49439,                 1.2348,                0.71418,                    1.2,              0.0014456,              0.0014456,              0.0014456
                     37,                 0.9603,                0.59049,                 1.0091,                0.85401,                0.75862,                0.81032,                 0.4674,                 1.2787,                  0.644,                 1.2115,              0.0014298,              0.0014298,              0.0014298
                     38,                0.96155,                0.59919,                  1.005,                0.81364,                0.67754,                0.75456,                0.45636,                 1.2546,                0.67013,                 1.1659,              0.0014139,              0.0014139,              0.0014139
                     39,                0.99139,                0.55933,                0.98945,                0.86485,                 0.7069,                0.79687,                0.50109,                 1.1731,                0.63728,                 1.1575,              0.0013981,              0.0013981,              0.0013981
                     40,                0.96825,                0.60017,                 1.0336,                0.96605,                0.77586,                0.82624,                0.53403,                 1.1283,                0.59699,                 1.1261,              0.0013822,              0.0013822,              0.0013822
                     41,                0.95397,                0.60514,                 0.9908,                0.95333,                0.70444,                0.82353,                0.53118,                 1.1789,                0.60315,                 1.1822,              0.0013664,              0.0013664,              0.0013664
                     42,                0.94082,                0.59029,                0.99285,                0.87601,                0.75862,                0.82861,                0.53002,                 1.0552,                0.54146,                 1.0972,              0.0013506,              0.0013506,              0.0013506
                     43,                0.90068,                0.56331,                0.97104,                0.93555,                0.75087,                0.84767,                0.51718,                 1.1904,                0.65027,                   1.16,              0.0013347,              0.0013347,              0.0013347
                     44,                0.95857,                0.59536,                0.99778,                0.93219,                 0.7931,                0.85115,                0.51733,                 1.1603,                 0.5616,                 1.1192,              0.0013189,              0.0013189,              0.0013189
                     45,                0.92022,                0.56818,                 0.9624,                0.85369,                0.74138,                0.80866,                0.56321,                 0.9773,                0.52545,                  1.046,               0.001303,               0.001303,               0.001303
                     46,                0.94336,                0.57868,                0.98443,                0.86777,                0.79204,                0.81686,                0.52838,                 1.1489,                0.56546,                 1.1087,              0.0012872,              0.0012872,              0.0012872
                     47,                0.92935,                0.56445,                0.96024,                0.88065,                0.77586,                0.83339,                0.56403,                 1.0328,                0.57839,                 1.0623,              0.0012714,              0.0012714,              0.0012714
                     48,                0.92044,                0.55731,                0.99161,                0.85915,                0.73625,                0.81942,                0.52587,                 1.0696,                0.60696,                 1.1013,              0.0012555,              0.0012555,              0.0012555
                     49,                0.89223,                0.54942,                0.96995,                0.86907,                0.80117,                0.84321,                0.54031,                 1.1704,                  0.594,                 1.1674,              0.0012397,              0.0012397,              0.0012397
                     50,                0.81535,                0.51873,                 0.9574,                   0.92,                0.72414,                0.82047,                0.54454,                 1.0896,                0.59114,                 1.1009,              0.0012238,              0.0012238,              0.0012238
                     51,                0.84807,                0.50196,                0.93311,                0.87304,                0.75862,                0.83472,                 0.5308,                 1.0763,                0.57872,                 1.1029,               0.001208,               0.001208,               0.001208
                     52,                0.82254,                0.51447,                0.95725,                0.91572,                0.74942,                0.82586,                0.50924,                 1.1646,                 0.6371,                 1.1138,              0.0011922,              0.0011922,              0.0011922
                     53,                0.87556,                0.55146,                0.95738,                0.90787,                0.75862,                0.82362,                0.56988,                  1.096,                0.56144,                 1.0922,              0.0011763,              0.0011763,              0.0011763
                     54,                0.84843,                0.50002,                 0.9513,                0.97429,                0.74138,                0.83763,                0.55845,                 1.0371,                0.50506,                 1.0721,              0.0011605,              0.0011605,              0.0011605
                     55,                0.80746,                 0.4989,                0.95866,                0.97769,                 0.7556,                0.85225,                0.58449,                0.99274,                0.52515,                  1.029,              0.0011446,              0.0011446,              0.0011446
                     56,                0.83289,                0.51818,                0.93514,                0.91384,                0.72414,                 0.8109,                 0.5418,                 1.0242,                0.57558,                 1.0217,              0.0011288,              0.0011288,              0.0011288
                     57,                0.83209,                0.50379,                0.95439,                  0.976,                0.75862,                0.83673,                0.59569,                0.95934,                0.56633,                 1.0278,               0.001113,               0.001113,               0.001113
                     58,                0.83855,                0.54121,                0.96455,                0.85574,                0.74138,                0.80282,                0.55915,                 1.0305,                0.56946,                 1.0526,              0.0010971,              0.0010971,              0.0010971
                     59,                0.80493,                0.49653,                0.94157,                0.94635,                0.77586,                0.85134,                0.59873,                 0.9931,                0.54401,                 1.0243,              0.0010813,              0.0010813,              0.0010813
                     60,                0.85182,                0.49275,                0.95301,                0.96586,                0.77586,                0.85081,                0.59673,                0.98154,                0.53219,                 1.0043,              0.0010654,              0.0010654,              0.0010654
                     61,                0.79929,                0.48498,                0.94484,                0.88219,                0.81034,                0.85531,                0.61126,                0.98079,                0.55042,                 0.9899,              0.0010496,              0.0010496,              0.0010496
