                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95082,                0.64763,                0.96006,                0.89489,                0.63793,                0.68889,                0.46366,                 1.0241,                0.75438,                 1.0033,              0.0013268,              0.0013268,              0.0013268
                     36,                0.94354,                0.63375,                0.94416,                0.90134,                0.72414,                0.77824,                0.49794,                  1.141,                0.67801,                 1.1295,               0.001307,               0.001307,               0.001307
                     37,                0.96767,                0.63978,                0.96579,                0.83576,                 0.7069,                0.73713,                0.50312,                 1.0596,                0.62558,                 1.0275,              0.0012872,              0.0012872,              0.0012872
                     38,                0.92283,                0.64081,                0.93734,                0.81939,                0.78229,                0.78204,                0.53896,                0.99641,                 0.6587,                0.97827,              0.0012674,              0.0012674,              0.0012674
                     39,                0.92876,                0.59085,                0.93314,                0.83693,                 0.7069,                0.75077,                0.51997,                  1.026,                0.64036,                0.97547,              0.0012476,              0.0012476,              0.0012476
                     40,                0.90123,                0.62124,                0.96289,                0.90837,                 0.7069,                 0.7761,                0.52344,                 1.0144,                0.57186,                0.96564,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.9176,                0.61911,                0.93284,                0.85419,                0.75862,                0.78012,                 0.5273,                0.96543,                0.55727,                0.95374,               0.001208,               0.001208,               0.001208
                     42,                0.89797,                 0.5986,                0.95172,                0.87557,                0.77586,                0.81576,                0.55874,                0.99147,                0.53653,                 0.9241,              0.0011882,              0.0011882,              0.0011882
                     43,                0.86058,                 0.5706,                0.92024,                0.93567,                0.75245,                 0.8312,                 0.5351,                 1.0682,                 0.5962,                0.94238,              0.0011684,              0.0011684,              0.0011684
                     44,                0.87492,                0.59545,                0.93154,                0.89867,                0.74138,                0.81836,                0.53662,                 1.0409,                0.58298,                0.93246,              0.0011486,              0.0011486,              0.0011486
                     45,                0.90683,                0.59181,                0.93105,                0.81392,                0.75862,                0.80586,                0.53506,                 1.0002,                0.57831,                 0.9581,              0.0011288,              0.0011288,              0.0011288
                     46,                0.94273,                  0.607,                0.93056,                0.83175,                 0.7931,                0.82906,                0.54291,                  1.041,                0.58912,                0.97677,               0.001109,               0.001109,               0.001109
                     47,                0.84769,                0.58548,                0.91699,                0.79476,                0.80126,                0.80209,                0.53996,                 1.0313,                0.59642,                 1.0094,              0.0010892,              0.0010892,              0.0010892
                     48,                0.88997,                0.58959,                0.95602,                0.88767,                0.75862,                0.83117,                0.55302,                 1.0324,                0.60303,                 1.0065,              0.0010694,              0.0010694,              0.0010694
                     49,                0.85016,                0.59558,                0.93073,                0.85943,                 0.7069,                0.80426,                0.52223,                 1.0948,                0.66316,                0.98551,              0.0010496,              0.0010496,              0.0010496
                     50,                0.77438,                0.52413,                0.90136,                 0.8215,                 0.7935,                0.82392,                0.53554,                   1.05,                0.56839,                0.97217,              0.0010298,              0.0010298,              0.0010298
                     51,                 0.8505,                0.54358,                  0.905,                0.93796,                0.78212,                0.85571,                0.52923,                 1.1108,                0.53492,                  1.003,                0.00101,                0.00101,                0.00101
                     52,                0.78728,                0.53547,                0.91289,                0.89472,                 0.7931,                0.85056,                 0.5435,                 1.0395,                0.52996,                 0.9519,              0.0009902,              0.0009902,              0.0009902
                     53,                0.81401,                 0.5687,                0.92684,                0.90254,                0.75862,                0.82601,                0.58263,                 1.0145,                0.53502,                0.94321,              0.0009704,              0.0009704,              0.0009704
                     54,                0.80298,                0.53206,                  0.901,                  0.898,                0.77586,                0.84037,                0.56192,                 1.0067,                0.53074,                0.94532,              0.0009506,              0.0009506,              0.0009506
                     55,                0.76512,                0.51779,                0.90405,                0.91303,                0.74138,                0.81678,                0.54801,                 1.0063,                0.52679,                0.95541,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.7846,                0.53139,                0.89092,                0.95251,                 0.7069,                 0.8192,                0.54254,                  1.058,                 0.5692,                0.97315,               0.000911,               0.000911,               0.000911
                     57,                0.81687,                0.53083,                0.92728,                 0.9549,                0.77586,                0.83556,                0.58641,                0.99849,                0.57156,                0.97423,              0.0008912,              0.0008912,              0.0008912
                     58,                0.82936,                 0.5763,                0.91827,                0.97777,                0.75832,                0.86226,                0.55101,                 1.0481,                0.57705,                0.96882,              0.0008714,              0.0008714,              0.0008714
                     59,                0.80165,                0.53329,                0.90692,                0.91665,                0.75842,                0.82599,                0.52839,                 1.0672,                0.56479,                  0.974,              0.0008516,              0.0008516,              0.0008516
                     60,                0.86571,                0.53161,                0.92151,                0.96385,                0.75862,                0.84876,                0.55792,                 1.0035,                0.55871,                0.95988,              0.0008318,              0.0008318,              0.0008318
                     61,                0.79066,                0.51295,                0.90768,                0.87375,                0.71605,                0.81287,                0.55254,                 0.9722,                 0.5597,                0.95473,               0.000812,               0.000812,               0.000812
                     62,                0.79499,                0.52029,                0.91805,                0.77976,                0.77586,                0.80846,                0.55469,                0.96453,                0.59187,                0.93727,              0.0007922,              0.0007922,              0.0007922
                     63,                0.74728,                0.49194,                0.90095,                0.95531,                0.73719,                0.81992,                0.57417,                0.97143,                0.58944,                0.98006,              0.0007724,              0.0007724,              0.0007724
                     64,                0.74915,                0.49624,                 0.8815,                0.88763,                0.81034,                0.86829,                0.59091,                 1.0036,                0.51604,                0.96118,              0.0007526,              0.0007526,              0.0007526
                     65,                0.80773,                0.51136,                0.89331,                0.96436,                0.75862,                0.87344,                0.60517,                0.96195,                0.49807,                0.93348,              0.0007328,              0.0007328,              0.0007328
                     66,                0.75597,                0.48006,                0.89754,                0.90194,                 0.7929,                0.86457,                0.61374,                0.94175,                0.48961,                 0.9385,               0.000713,               0.000713,               0.000713
                     67,                0.77911,                0.48562,                 0.9059,                      1,                0.77375,                0.89136,                0.61165,                0.95457,                0.50229,                0.94854,              0.0006932,              0.0006932,              0.0006932
                     68,                0.70367,                0.45632,                0.88024,                0.95587,                0.81034,                0.88064,                0.59126,                 1.0011,                0.55142,                  0.953,              0.0006734,              0.0006734,              0.0006734
                     69,                0.70738,                0.47018,                0.89199,                0.96111,                 0.7931,                0.87314,                0.59975,                0.96982,                0.56686,                0.96044,              0.0006536,              0.0006536,              0.0006536
                     70,                0.70608,                0.47614,                 0.8895,                0.93809,                 0.7931,                0.87144,                0.59312,                 0.9764,                0.53341,                0.96854,              0.0006338,              0.0006338,              0.0006338
                     71,                0.68505,                0.44868,                0.88633,                0.93703,                0.76983,                0.85689,                0.55021,                 1.0495,                 0.5232,                0.97869,               0.000614,               0.000614,               0.000614
                     72,                0.67122,                0.44612,                0.88073,                0.91421,                0.74138,                0.84968,                0.57766,                0.99146,                0.48982,                0.95081,              0.0005942,              0.0005942,              0.0005942
